what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687297846
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1717687301558
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1717687324676
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1717687324678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687325781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1717687325794
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1717687333689
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1717687333721
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1717687333783
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1717687333956
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1717687335507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687346778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687370953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687377379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687386656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687388385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717702010207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717702011561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717702013506
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717702013891
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1717702014465
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1717702014465
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1717702014475
